,Country_Area,Quantity,Value,year,month,day,date,price
0,Total Census Basis,2374080.0,2511741.0,2013,1,15,2013-01-15,1.057984987868985
1,North America,636100.0,647217.0,2013,1,15,2013-01-15,1.0174768118220405
2,Canada,440330.0,465250.0,2013,1,15,2013-01-15,1.0565939181977153
3,Mexico,195770.0,181967.0,2013,1,15,2013-01-15,0.9294937937375491
4,Europe,566374.0,730419.0,2013,1,15,2013-01-15,1.2896407674081085
5,European Union,332667.0,559489.0,2013,1,15,2013-01-15,1.6818289761232703
6,Austria,14688.0,32712.0,2013,1,15,2013-01-15,2.227124183006536
7,Belgium,8418.0,15304.0,2013,1,15,2013-01-15,1.8180090282727488
8,Czech Republic,14479.0,18501.0,2013,1,15,2013-01-15,1.2777816147524
9,Finland,12537.0,30084.0,2013,1,15,2013-01-15,2.399617133285475
10,France,21404.0,43668.0,2013,1,15,2013-01-15,2.040179405718557
11,Germany,66785.0,117323.0,2013,1,15,2013-01-15,1.7567268099124054
12,Italy,33604.0,79878.0,2013,1,15,2013-01-15,2.377038447803833
13,Netherlands,46527.0,35979.0,2013,1,15,2013-01-15,0.7732929266877298
14,Poland,2309.0,3106.0,2013,1,15,2013-01-15,1.3451710697271546
15,Spain,17066.0,23200.0,2013,1,15,2013-01-15,1.3594281026602602
16,Sweden,11839.0,30264.0,2013,1,15,2013-01-15,2.5562969845426133
17,United Kingdom,54932.0,88413.0,2013,1,15,2013-01-15,1.6094990169664312
18,Other EU,28079.0,41056.0,2013,1,15,2013-01-15,1.4621603333452047
19,Norway,1199.0,2196.0,2013,1,15,2013-01-15,1.8315262718932444
20,Russia,88447.0,52569.0,2013,1,15,2013-01-15,0.594355941976551
21,Switzerland,662.0,2629.0,2013,1,15,2013-01-15,3.971299093655589
22,Turkey,122192.0,84577.0,2013,1,15,2013-01-15,0.692164789838942
23,Ukraine,19991.0,27425.0,2013,1,15,2013-01-15,1.3718673403031365
24,Other Europe,1216.0,1534.0,2013,1,15,2013-01-15,1.261513157894737
25,Euro Area,239886.0,401785.0,2013,1,15,2013-01-15,1.6748997440450881
26,Pacific Rim Countries,690830.0,732798.0,2013,1,15,2013-01-15,1.0607501121838947
27,Australia,597.0,431.0,2013,1,15,2013-01-15,0.7219430485762144
28,China,153165.0,154784.0,2013,1,15,2013-01-15,1.0105703000032644
29,Indonesia,410.0,1536.0,2013,1,15,2013-01-15,3.7463414634146344
30,Japan,160903.0,189710.0,2013,1,15,2013-01-15,1.1790333306401994
31,Countries(NICS),365856.0,375834.0,2013,1,15,2013-01-15,1.0272730254526372
32,Hong Kong,72.0,219.0,2013,1,15,2013-01-15,3.0416666666666665
33,Korea,328008.0,304134.0,2013,1,15,2013-01-15,0.9272151898734177
34,Singapore,50.0,189.0,2013,1,15,2013-01-15,3.78
35,Taiwan,37726.0,71292.0,2013,1,15,2013-01-15,1.8897312198483804
36,Other Pacific Rim,9899.0,10502.0,2013,1,15,2013-01-15,1.0609152439640368
37,South/Central America,344751.0,235822.0,2013,1,15,2013-01-15,0.6840357243343747
38,Argentina,22965.0,47095.0,2013,1,15,2013-01-15,2.050729370781624
39,Brazil,317011.0,183116.0,2013,1,15,2013-01-15,0.5776329527997451
40,Chile,,,2013,1,15,2013-01-15,
41,Colombia,2031.0,3184.0,2013,1,15,2013-01-15,1.567700640078779
42,Venezuela,,,2013,1,15,2013-01-15,
43,Other S/C America,2745.0,2428.0,2013,1,15,2013-01-15,0.8845173041894353
44,Other Countries,136025.0,165485.0,2013,1,15,2013-01-15,1.2165778349568095
45,India,58944.0,71592.0,2013,1,15,2013-01-15,1.2145765472312704
46,South Africa,12608.0,19863.0,2013,1,15,2013-01-15,1.5754282994923858
47,Thailand,11612.0,14526.0,2013,1,15,2013-01-15,1.2509472959007923
48,Other,52862.0,59504.0,2013,1,15,2013-01-15,1.1256479134349817
49,Total Census Basis,2274931.0,2252836.0,2013,2,15,2013-02-15,0.9902876175145532
50,North America,580137.0,578039.0,2013,2,15,2013-02-15,0.9963836128362783
51,Canada,378941.0,393206.0,2013,2,15,2013-02-15,1.0376443826347637
