,Product,Quantity,Value,date,year,month,day,price
0,Total Selected Commodities,2374080,2511741,2013-01-15,2013,1,15,1.057984987868985
1,Ingots And Steel For Castings,2565,5058,2013-01-15,2013,1,15,1.9719298245614034
2,"Blooms, Billets And Slabs",427186,238463,2013-01-15,2013,1,15,0.5582182000346453
3,Wire Rods,65698,57304,2013-01-15,2013,1,15,0.872233553532832
4,Structural Shapes Heavy,44451,37207,2013-01-15,2013,1,15,0.8370340374794718
5,Steel Piling,15959,17231,2013-01-15,2013,1,15,1.0797042421204337
6,Plates Cut Lengths,62327,92521,2013-01-15,2013,1,15,1.4844449436038956
7,Plates In Coils,73768,66680,2013-01-15,2013,1,15,0.9039149766836568
8,Rails Standard,27094,27405,2013-01-15,2013,1,15,1.0114785561378903
9,Rails All Other,2406,2352,2013-01-15,2013,1,15,0.9775561097256857
10,Railroad Accessories,537,595,2013-01-15,2013,1,15,1.1080074487895717
11,Bars - Hot Rolled,127151,119671,2013-01-15,2013,1,15,0.9411723069421397
12,Bars - Light Shaped,11537,11170,2013-01-15,2013,1,15,0.9681893039785039
13,Bars - Reinforcing,106487,63145,2013-01-15,2013,1,15,0.5929831810455737
14,Bars - Cold Finished,24507,65479,2013-01-15,2013,1,15,2.6718488595095278
15,Tool Steel,9948,29404,2013-01-15,2013,1,15,2.9557700040209087
16,Standard Pipe,64573,74455,2013-01-15,2013,1,15,1.1530360986790145
17,Oil Country Goods,270288,371114,2013-01-15,2013,1,15,1.3730317291185699
18,Line Pipe > 16 Inches In Diameter,99576,145242,2013-01-15,2013,1,15,1.4586044830079536
19,Line Pipe <= 16 Inches In Diameter,56963,78946,2013-01-15,2013,1,15,1.3859171743061285
20,Line Pipe - Not Specified,65891,60099,2013-01-15,2013,1,15,0.912097251521452
21,Mechanical Tubing,47242,79830,2013-01-15,2013,1,15,1.6898099149062276
22,Pressure Tubing,7292,14901,2013-01-15,2013,1,15,2.0434722984092155
23,Stainless Pipe & Tubing,10453,69990,2013-01-15,2013,1,15,6.695685449153353
24,Pipe & Tubing Nonclassified,1174,4659,2013-01-15,2013,1,15,3.9684838160136287
25,Structural Pipe & Tube,30805,37174,2013-01-15,2013,1,15,1.2067521506248986
26,Pipe For Piling,970,1424,2013-01-15,2013,1,15,1.468041237113402
27,Wire Drawn,54398,86869,2013-01-15,2013,1,15,1.5969153277694033
28,Black Plate,4548,3708,2013-01-15,2013,1,15,0.8153034300791556
29,Tin Plate,42581,48523,2013-01-15,2013,1,15,1.1395458068152462
30,Tin Free Steel,16053,17541,2013-01-15,2013,1,15,1.0926929545879276
31,Sheets Hot Rolled,216591,161434,2013-01-15,2013,1,15,0.7453402957648286
32,Sheets Cold Rolled,126947,155325,2013-01-15,2013,1,15,1.2235421081238627
33,Sheets & Strip Galv Hot Dipped,178390,167585,2013-01-15,2013,1,15,0.9394304613487303
34,Sheets & Strip Galv Electrolyt,8156,8504,2013-01-15,2013,1,15,1.0426679744973026
